Name,Salary,salcat
Shohei Ohtani,70000000.0,>50M
Juan Soto,51000000.0,>50M
Zack Wheeler,42000000.0,40 - 50M
Alex Bregman,40000000.0,40 - 50M
Aaron Judge,40000000.0,40 - 50M
Jacob deGrom,37000000.0,30 - 40M
Blake Snell,36400000.0,30 - 40M
Gerrit Cole,36000000.0,30 - 40M
Mike Trout,35541667.0,30 - 40M
Corbin Burnes,35000000.0,30 - 40M
Anthony Rendon,35000000.0,30 - 40M
Francisco Lindor,34100000.0,30 - 40M
Carlos Correa,33333333.0,30 - 40M
Nolan Arenado,32500000.0,30 - 40M
Corey Seager,32500000.0,30 - 40M
Manny Machado,31818182.0,30 - 40M
Rafael Devers,31350000.0,30 - 40M
Mookie Betts,30416667.0,30 - 40M
Vladimir Guerrero Jr.,28500000.0,20 - 30M
Tyler Glasnow,27312500.0,20 - 30M
Trea Turner,27272727.0,20 - 30M
Max Fried,27250000.0,20 - 30M
Yoshinobu Yamamoto,27083333.0,20 - 30M
Pete Alonso,27000000.0,20 - 30M
Freddie Freeman,27000000.0,20 - 30M
Carlos Rodon,27000000.0,20 - 30M
Christian Yelich,26928571.0,20 - 30M
Cody Bellinger,26666667.0,20 - 30M
Bobby Witt Jr.,26252525.0,20 - 30M
Willy Adames,26000000.0,20 - 30M
Kris Bryant,26000000.0,20 - 30M
Xander Bogaerts,25454545.0,20 - 30M
Bryce Harper,25384615.0,20 - 30M
Dansby Swanson,25285714.0,20 - 30M
Matt Chapman,25166667.0,20 - 30M
Jose Altuve,25000000.0,20 - 30M
Nathan Eovaldi,25000000.0,20 - 30M
Sonny Gray,25000000.0,20 - 30M
Sean Manaea,25000000.0,20 - 30M
Jordan Montgomery,25000000.0,20 - 30M
Marcus Semien,25000000.0,20 - 30M
George Springer,25000000.0,20 - 30M
Giancarlo Stanton,25000000.0,20 - 30M
Aaron Nola,24571429.0,20 - 30M
Fernando Tatis Jr.,24285714.0,20 - 30M
Javier Báez,23333333.0,20 - 30M
Trevor Story,23333333.0,20 - 30M
J.T. Realmuto,23100000.0,20 - 30M
Robbie Ray,23000000.0,20 - 30M
Luis Severino,22333333.0,20 - 30M
Kevin Gausman,22000000.0,20 - 30M
Teoscar Hernandez,22000000.0,20 - 30M
Luis Castillo,21600000.0,20 - 30M
Yusei Kikuchi,21225000.0,20 - 30M
Austin Riley,21200000.0,20 - 30M
Nick Martinez,21050000.0,20 - 30M
Chris Bassitt,21000000.0,20 - 30M
Matt Olson,21000000.0,20 - 30M
Salvador Perez,20500000.0,20 - 30M
Edwin Diaz,20400000.0,20 - 30M
Ian Happ,20333333.0,20 - 30M
Brandon Nimmo,20250000.0,20 - 30M
José Ramírez,20142857.0,20 - 30M
Nick Castellanos,20000000.0,20 - 30M
Joe Musgrove,20000000.0,20 - 30M
Eduardo Rodriguez,20000000.0,20 - 30M
Christian Walker,20000000.0,20 - 30M
Kyle Schwarber,19750000.0,10 - 20M
Starling Marte,19500000.0,10 - 20M
Ketel Marte,19416667.0,10 - 20M
Lucas Giolito,19250000.0,10 - 20M
Yordan Alvarez,19166667.0,10 - 20M
Josh Hader,19000000.0,10 - 20M
Chris Sale,19000000.0,10 - 20M
Jung Hoo Lee,18833333.0,10 - 20M
José Berríos,18714286.0,10 - 20M
Miles Mikolas,18583333.0,10 - 20M
Joc Pederson,18500000.0,10 - 20M
Anthony Santander,18500000.0,10 - 20M
Pablo López,18375000.0,10 - 20M
Yu Darvish,18000000.0,10 - 20M
Tanner Scott,18000000.0,10 - 20M
Framber Valdez,18000000.0,10 - 20M
Taijuan Walker,18000000.0,10 - 20M
Logan Webb,18000000.0,10 - 20M
Masataka Yoshida,18000000.0,10 - 20M
Willson Contreras,17500000.0,10 - 20M
Jack Flaherty,17500000.0,10 - 20M
Cal Raleigh,17500000.0,10 - 20M
Julio Rodriguez,17441667.0,10 - 20M
Michael Conforto,17000000.0,10 - 20M
Rhys Hoskins,17000000.0,10 - 20M
Lance McCullers,17000000.0,10 - 20M
Frankie Montas,17000000.0,10 - 20M
Seiya Suzuki,17000000.0,10 - 20M
Jameson Taillon,17000000.0,10 - 20M
Michael Wacha,17000000.0,10 - 20M
Wander Franco,16545455.0,10 - 20M
Tyler O'Neill,16500000.0,10 - 20M
Kyle Tucker,16500000.0,10 - 20M
Marcell Ozuna,16250000.0,10 - 20M
David Robertson,15942857.0,10 - 20M
Max Scherzer,15500000.0,10 - 20M
Mitch Keller,15400000.0,10 - 20M
Andres Gimenez,15214286.0,10 - 20M
Andrew Benintendi,15000000.0,10 - 20M
Alex Cobb,15000000.0,10 - 20M
Seth Lugo,15000000.0,10 - 20M
Kodai Senga,15000000.0,10 - 20M
Gleyber Torres,15000000.0,10 - 20M
Justin Verlander,15000000.0,10 - 20M
Tommy Edman,14800000.0,10 - 20M
Matthew Boyd,14500000.0,10 - 20M
Raisel Iglesias,14500000.0,10 - 20M
Ha-seong Kim,14500000.0,10 - 20M
Byron Buxton,14285714.0,10 - 20M
Luis Arraez,14000000.0,10 - 20M
Jon Gray,14000000.0,10 - 20M
Lourdes Gurriel Jr.,14000000.0,10 - 20M
Jurickson Profar,14000000.0,10 - 20M
Will Smith,14000000.0,10 - 20M
Jorge Soler,14000000.0,10 - 20M
Corbin Carroll,13875000.0,10 - 20M
Dylan Cease,13750000.0,10 - 20M
Nick Pivetta,13750000.0,10 - 20M
Zac Gallen,13500000.0,10 - 20M
Bryan Reynolds,13343750.0,10 - 20M
Zach Eflin,13333333.0,10 - 20M
Shota Imanaga,13250000.0,10 - 20M
Tyler Anderson,13000000.0,10 - 20M
Shane Bieber,13000000.0,10 - 20M
Tomoyuki Sugano,13000000.0,10 - 20M
Kirby Yates,13000000.0,10 - 20M
Kyle Freeland,12900000.0,10 - 20M
Cristian Javier,12800000.0,10 - 20M
Clay Holmes,12666667.0,10 - 20M
Ronald Acuña Jr.,12500000.0,10 - 20M
Paul Goldschmidt,12500000.0,10 - 20M
Jeff McNeil,12500000.0,10 - 20M
Spencer Strider,12500000.0,10 - 20M
Sean Murphy,12166667.0,10 - 20M
Mitch Garver,12000000.0,10 - 20M
Max Muncy,12000000.0,10 - 20M
Brent Rooker,12000000.0,10 - 20M
Nico Hoerner,11666667.0,10 - 20M
Ryan McMahon,11666667.0,10 - 20M
Rafael Montero,11500000.0,10 - 20M
Jake Cronenworth,11428571.0,10 - 20M
Randy Arozarena,11300000.0,10 - 20M
