Name,OBP+,SLG+,wRC+
Francisco Lindor,109,116,129
Rafael Devers,118,119,135
Shohei Ohtani,123,155,172
Matt Olson,115,120,136
Kyle Schwarber,115,140,152
Geraldo Perdomo,123,115,138
Juan Soto,125,131,156
Julio Rodríguez,103,117,126
Pete Alonso,109,130,141
Randy Arozarena,107,105,120
Cal Raleigh,115,145,161
Brent Rooker,107,118,122
Elly De La Cruz,106,110,109
Jarren Duran,106,109,111
Heliot Ramos,103,99,106
Steven Kwan,106,92,99
Fernando Tatis Jr.,116,111,131
James Wood,110,118,127
Bobby Witt Jr.,112,123,130
Willy Adames,100,105,108
TJ Friedl,115,94,109
Vinnie Pasquantino,103,117,116
Vladimir Guerrero Jr.,122,115,137
Aaron Judge,146,170,204
Manny Machado,106,114,123
Luis Arraez,103,97,104
José Ramírez,115,124,133
Ozzie Albies,96,91,87
Maikel Garcia,112,111,121
Mookie Betts,103,101,104
Taylor Ward,101,117,117
Ian Happ,108,104,116
William Contreras,112,99,113
Brice Turang,113,108,124
Eugenio Suárez,94,130,125
Cody Bellinger,107,118,125
Riley Greene,100,122,121
Jose Altuve,105,109,113
Trevor Story,98,107,101
J.P. Crawford,112,91,113
Bryan Reynolds,100,100,99
Junior Caminero,99,132,129
Brandon Nimmo,102,108,114
Yandy Díaz,117,119,135
Gunnar Henderson,111,108,120
Seiya Suzuki,103,119,123
Nico Hoerner,109,98,109
Spencer Torkelson,106,113,118
Jackson Holliday,100,93,96
Pete Crow-Armstrong,90,120,109
Dansby Swanson,94,104,99
Christian Yelich,108,112,121
Corbin Carroll,108,134,139
Salvador Perez,91,110,95
Michael Harris II,85,102,83
Christian Walker,95,104,99
Trea Turner,112,114,125
CJ Abrams,99,108,107
Lawrence Butler,98,100,96
Gleyber Torres,114,95,113
Bo Bichette,114,119,134
Freddie Freeman,116,125,139
Andy Pages,99,115,113
Tyler Soderstrom,111,117,125
Xavier Edwards,108,88,95
Jung Hoo Lee,103,101,107
Nathaniel Lowe,97,95,91
Josh Naylor,112,115,128
Kyle Tucker,119,115,136
Anthony Volpe,87,97,83
Otto Lopez,96,91,86
Sal Frelick,111,101,114
Marcell Ozuna,112,100,114
Michael Busch,108,130,140
Nick Castellanos,93,100,90
Jackson Chourio,97,115,111
Ernie Clement,100,98,98
Jordan Beck,100,103,90
Ceddanne Rafaela,94,102,91
George Springer,127,138,166
Ryan McMahon,99,95,86
Agustín Ramírez,91,103,91
Carlos Correa,106,99,106
Lars Nootbaar,102,90,96
Trent Grisham,111,114,129
Bryce Harper,113,121,131
Hunter Goodman,102,129,118
Matt McLain,94,85,77
Jo Adell,94,120,112
Wyatt Langford,110,106,118
Ke'Bryan Hayes,91,76,65
Miguel Vargas,101,99,101
Spencer Steer,98,102,97
Trevor Larnach,103,100,102
Jonathan India,103,85,89
Yainer Diaz,91,103,92
Nolan Schanuel,113,96,109
Willson Contreras,108,111,124
Josh Smith,107,90,100
Bryson Stott,103,97,100
Mike Yastrzemski,105,100,106
Mike Trout,115,108,120
Ketel Marte,118,129,145
Zach Neto,102,117,116
Brandon Lowe,98,118,114
Xander Bogaerts,104,97,104
Andrew McCutchen,105,91,95
J.T. Realmuto,99,96,94
Adolis García,86,97,83
Teoscar Hernández,90,113,102
Lourdes Gurriel Jr.,93,104,95
Alec Burleson,108,114,124
Gavin Sheets,100,107,111
Ryan O'Hearn,116,108,127
Oneil Cruz,94,94,86
Lenyn Sosa,94,107,100
Jeremy Peña,116,118,135
Byron Buxton,104,136,136
Luis Rengifo,92,83,73
Brenton Doyle,86,94,65
Masyn Winn,98,90,91
Matt Chapman,107,107,118
Paul Goldschmidt,105,99,103
Marcus Semien,97,90,89
Josh Bell,102,104,107
Jazz Chisholm Jr.,106,118,126
Kyle Manzardo,100,112,113
Ben Rice,108,123,133
Brooks Lee,91,91,81
Luis García Jr.,91,102,91
Jorge Polanco,104,122,132
Shea Langeliers,104,132,132
Jacob Wilson,113,110,121
Jake Cronenworth,116,94,117
Brendan Donovan,111,105,119
Eric Wagaman,93,94,85
Zach McKinstry,106,108,114
Josh Jung,94,96,91
Alejandro Kirk,111,104,116
Joey Ortiz,87,79,67
Caleb Durbin,105,96,105
Chase Meidroth,105,79,87
Alec Bohm,104,102,105
Gavin Lux,110,93,102
Addison Barger,96,112,107
Harrison Bader,110,111,122
Cedric Mullins,95,97,94
Jesús Sánchez,96,98,93
Alex Bregman,115,114,125
Cam Smith,100,88,90
Ty France,102,89,92
Nick Kurtz,122,153,170
Ramón Laureano,109,127,138
Michael Conforto,96,83,83
Angel Martínez,86,88,74
Jackson Merrill,100,114,116
Carlos Santana,98,80,82
Max Kepler,95,97,90
Gabriel Arias,88,90,77
Andrew Benintendi,98,106,103
Alek Thomas,91,92,81
Dillon Dingler,104,105,109
Colt Keith,106,102,109
Ryan Jeffers,114,98,113
Kerry Carpenter,93,122,115
Wilmer Flores,97,94,95
Mark Vientos,91,103,97
Victor Scott II,96,74,76
Jeff McNeil,106,102,111
Mickey Moniak,96,129,110
Adam Frazier,101,90,89
Isiah Kiner-Falefa,94,83,75
Kyle Stowers,116,135,149
Willi Castro,100,90,92
Iván Herrera,118,115,137
Patrick Bailey,87,81,70
Logan O'Hoppe,82,92,72
Tommy Pham,104,92,94
Austin Wells,88,108,94
Austin Riley,97,106,103
Andrew Vaughn,97,102,99
Carlos Narváez,98,103,97
Drake Baldwin,107,117,125
Corey Seager,119,120,138
Isaac Collins,116,102,122
Chandler Simpson,104,85,88
Nathan Lukes,103,100,103
Isaac Paredes,112,113,128
Javier Báez,90,98,86
Matt Shaw,93,98,93
Nolan Arenado,91,94,84
Will Smith,127,124,153
Josh Lowe,91,90,79
Jonah Heim,87,82,69
Brett Baty,99,108,111
Luis Robert Jr.,95,90,84
Jasson Domínguez,106,96,103
Tyler Freeman,112,90,91
Jake Mangum,105,91,95
Brandon Marsh,108,110,116
Jonathan Aranda,126,121,146
Daniel Schneemann,90,87,79
Carson Kelly,105,106,115
Wilyer Abreu,101,116,110
Austin Hays,99,113,105
Nick Allen,90,62,53
Bo Naylor,90,93,85
Ronald Acuña Jr.,132,129,161
Spencer Horwitz,111,108,119
Kyle Isbel,96,87,79
Nick Gonzales,94,90,82
Royce Lewis,90,96,85
Nolan Jones,95,75,72
Edgar Quero,106,88,95
Nolan Gorman,93,92,88
Mauricio Dubón,92,88,80
Jordan Walker,88,76,66
Matt Wallner,99,114,114
Ramón Urías,93,95,87
Ezequiel Tovar,93,99,78
Liam Hicks,109,86,98
Pedro Pagés,86,90,77
Max Muncy,119,117,137
Victor Caratini,103,100,104
Kody Clemens,90,107,95
Mike Tauchman,114,99,115
Wenceel Pérez,98,106,103
Brayan Rocchio,93,84,77
Jake Meyers,113,92,107
Tommy Edman,86,95,81
Jake Burger,86,103,89
Jared Triolo,98,89,86
Jurickson Profar,111,108,122
José Caballero,108,86,97
Andrés Giménez,91,77,70
Adley Rutschman,98,90,91
Jacob Young,93,71,66
Noelvi Marte,95,112,101
Colton Cowser,86,95,83
Ryan Mountcastle,91,91,81
Jordan Westburg,100,113,115
Daylen Lile,109,124,132
Casey Schmitt,96,100,98
Freddy Fermin,94,84,77
JJ Bleday,94,100,90
Jose Iglesias,94,73,73
Tyler Stephenson,100,105,99
Javier Sanoja,90,99,86
Tyrone Taylor,88,79,70
Miguel Andujar,112,116,125
Romy Gonzalez,110,119,123
Danny Jansen,102,99,103
Sean Murphy,94,102,97
Michael Toglia,81,88,54
Connor Norby,94,97,90
Dane Myers,92,81,72
Joey Bart,112,85,101
Luis Urías,101,83,84
Starling Marte,106,102,112
Rhys Hoskins,105,103,109
Santiago Espinal,92,70,58
Brooks Baldwin,93,100,92
Kyle Higashioka,93,99,93
Trey Sweeney,82,72,53
Michael A. Taylor,83,90,70
Alex Call,114,96,113
Dylan Crews,88,87,77
Miguel Rojas,100,99,100
Taylor Walls,90,79,66
Jorge Soler,94,95,88
Rowdy Tellez,88,109,101
Gabriel Moreno,111,108,117
Joc Pederson,91,81,76
Christopher Morel,92,98,90
Roman Anthony,126,114,140
Jose Trevino,86,87,66
Kyle Farmer,88,91,65
