Name,Salary
Aaron Judge,"$40,000,000"
Gerrit Cole,"$36,000,000"
Giancarlo Stanton,"$32,000,000"
Juan Soto,"$31,000,000"
Carlos Rodon,"$27,000,000"
Marcus Stroman,"$19,000,000"
Anthony Rizzo,"$17,000,000"
Gleyber Torres,"$14,200,000"
Alex Verdugo,"$9,200,000"
Clay Holmes,"$6,050,000"
Tommy Kahnle,"$5,750,000"
Trent Grisham,"$5,500,000"
Jon Berti,"$3,625,000"
Jose Trevino,"$2,730,000"
Luke Weaver,"$2,250,000"
Clarke Schmidt,"$2,025,000"
Luis Gil,"$1,848,628"
Austin Wells,"$1,551,564"
Anthony Volpe,"$1,228,964"
Ian Hamilton,"$923,050"
Jazz Chisholm,"$903,232"
Oswaldo Cabrera,"$783,000"
Mark Leiter Jr.,"$500,000"
Tim Hill,"$401,778"
Jasson Domínguez,"$392,980"
Ben Rice,"$302,328"
Tim Mayza,"$175,032"
Clayton Beeter,"$43,758"
D.J. LeMahieu,"$15,000,000"
Nestor Cortes,"$3,950,000"
Jonathan Loaisiga,"$2,500,000"
JT Brubaker,"$2,275,000"
Lou Trivino,"$1,500,000"
Jake Cousins,"$405,756"
Corbin Burnes,"$15,637,000"
Anthony Santander,"$11,700,000"
Cedric Mullins,"$6,325,000"
Ryan Mountcastle,"$4,137,500"
James McCann,"$4,000,000"
Zach Eflin,"$3,844,100"
Ryan O'Hearn,"$3,500,000"
Gunnar Henderson,"$2,763,378"
Danny Coulombe,"$2,300,000"
Ramon Urias,"$2,100,000"
Colton Cowser,"$1,721,471"
Gregory Soto,"$1,666,667"
Seranthony Dominguez,"$1,508,065"
Cionel Perez,"$1,200,000"
Jordan Westburg,"$1,066,813"
Adley Rutschman,"$1,048,610"
Jacob Webb,"$1,000,000"
Dean Kremer,"$756,600"
Yennier Cano,"$752,300"
Albert Suarez,"$656,370"
Heston Kjerstad,"$473,382"
Cade Povich,"$314,262"
Jackson Holliday,"$310,284"
Austin Slater,"$246,667"
Keegan Akin,"$235,055"
Emmanuel Rivera,"$155,142"
Matt Bowman,"$151,164"
Colin Selby,"$19,890"
John Means,"$3,325,000"
Jorge Mateo,"$2,700,000"
Tyler Wells,"$1,962,500"
Félix Bautista,"$1,000,000"
Grayson Rodriguez,"$991,398"
Kyle Bradish,"$754,500"
Burch Smith,"$318,240"
Trevor Story,"$22,500,000"
Masataka Yoshida,"$18,000,000"
Chris Martin,"$7,500,000"
Nick Pivetta,"$7,500,000"
Tyler O'Neill,"$5,850,000"
Ceddanne Rafaela,"$3,000,000"
Jarren Duran,"$2,081,661"
Brayan Bello,"$2,000,000"
Danny Jansen,"$1,817,204"
Luis Garcia,"$1,370,940"
Tanner Houck,"$1,304,267"
Wilyer Abreu,"$1,118,245"
Kutter Crawford,"$997,986"
Lucas Sims,"$919,380"
Connor Wong,"$760,000"
Triston Casas,"$760,000"
Justin Slaten,"$740,000"
Romy Gonzalez,"$688,194"
Greg Weissert,"$643,517"
Josh Winckowski,"$623,009"
Vaughn Grissom,"$570,427"
Enmanuel Valdez,"$447,664"
Nick Sogard,"$194,922"
Mickey Gasper,"$135,252"
Luis Guerrero,"$91,494"
Richard Fitts,"$83,538"
Chase Shugart,"$71,604"
Quinn Priester,"$3,978"
Rafael Devers,"$25,000,000"
Lucas Giolito,"$18,000,000"
Kenley Jansen,"$16,000,000"
Garrett Whitlock,"$3,250,000"
James Paxton,"$2,483,871"
Liam Hendriks,"$2,000,000"
Rob Refsnyder,"$1,850,000"
Chris Murphy,"$743,500"
Bryan Mata,"$740,000"
David Hamilton,"$700,128"
Brennan Bernardino,"$680,238"
Isaiah Campbell,"$385,056"
Brandon Lowe,"$8,750,000"
Yandy Diaz,"$8,000,000"
Colin Poche,"$2,375,000"
Tyler Alexander,"$1,950,000"
Drew Rasmussen,"$1,862,500"
Zack Littell,"$1,850,000"
Ryan Pepiot,"$980,929"
Jason Adam,"$914,508"
Jose Siri,"$757,800"
Taylor Walls,"$757,300"
